rowNumber,failure_type
446,No Failure
7076,No Failure
1191,No Failure
2618,No Failure
5067,No Failure
191,No Failure
2601,No Failure
3300,No Failure
6729,No Failure
4824,No Failure
6848,No Failure
1238,No Failure
199,No Failure
3703,No Failure
6984,No Failure
3601,No Failure
1737,No Failure
6992,No Failure
9921,No Failure
5593,No Failure
2910,No Failure
8041,No Failure
8525,No Failure
4475,No Failure
7611,No Failure
2405,No Failure
9048,No Failure
146,No Failure
2049,No Failure
2964,No Failure
8868,No Failure
9211,No Failure
8598,No Failure
1123,No Failure
3894,No Failure
5175,No Failure
2477,No Failure
5531,No Failure
7916,No Failure
5441,No Failure
5764,No Failure
3779,No Failure
8844,No Failure
4227,No Failure
7525,No Failure
3002,No Failure
6076,No Failure
7154,No Failure
1108,No Failure
5754,No Failure
7020,No Failure
4094,No Failure
1552,No Failure
8607,No Failure
3913,No Failure
5295,No Failure
931,No Failure
130,No Failure
9041,No Failure
3420,No Failure
4347,No Failure
8329,No Failure
1288,No Failure
9931,No Failure
6441,No Failure
5052,No Failure
7960,No Failure
5127,No Failure
4137,No Failure
3481,No Failure
9585,No Failure
9976,No Failure
2828,No Failure
6088,No Failure
7696,No Failure
1580,No Failure
1571,No Failure
7750,No Failure
4831,No Failure
6951,No Failure
8367,No Failure
1799,No Failure
4199,No Failure
8046,No Failure
9150,No Failure
4538,No Failure
8352,No Failure
589,No Failure
3132,No Failure
2208,No Failure
2383,No Failure
6131,No Failure
4467,No Failure
5117,No Failure
6584,No Failure
1713,No Failure
2863,No Failure
5059,No Failure
5864,No Failure
9241,No Failure
9917,No Failure
3643,No Failure
7143,No Failure
62,No Failure
7385,No Failure
6687,No Failure
6700,No Failure
2850,No Failure
8670,No Failure
1140,No Failure
5280,No Failure
2515,No Failure
4399,No Failure
6145,No Failure
6481,No Failure
1513,No Failure
9709,No Failure
7401,No Failure
1762,No Failure
5478,No Failure
8480,No Failure
636,No Failure
1963,No Failure
400,No Failure
2893,No Failure
5907,No Failure
504,No Failure
712,No Failure
1506,No Failure
8653,No Failure
8706,No Failure
8964,No Failure
3990,No Failure
5164,No Failure
7269,No Failure
9580,No Failure
3199,No Failure
3772,No Failure
9913,No Failure
4381,Overstrain Failure
5981,No Failure
5228,No Failure
7305,No Failure
4027,No Failure
